ranking,nombre,puntuacion,votos,tipo,episodios,duracion,demografia,source,rating_edad,miembros,favoritos
1,Sousou no Frieren,9.30,,TV,28,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,161,588","71,883"
2,Fullmetal Alchemist: Brotherhood,9.10,,TV,64,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"3,542,513","234,793"
3,Steins;Gate,9.07,,TV,24,24 min. per ep.,,Drama,PG-13 - Teens 13 or older,"2,712,860","196,727"
4,Shingeki no Kyojin Season 3 Part 2,9.05,,TV,10,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"2,464,502","61,308"
5,Gintama°,9.05,,TV,51,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"670,969","17,223"
6,Gintama: The Final,9.04,,Movie,1,1 hr. 44 min.,Shounen,Manga,PG-13 - Teens 13 or older,"171,458","4,506"
7,One Piece Fan Letter,9.04,,TV Special,1,24 min.,Shounen,Light novel,PG-13 - Teens 13 or older,"117,150","2,265"
8,Hunter x Hunter (2011),9.03,,TV,148,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"3,044,987","221,689"
9,Gintama',9.02,,TV,51,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"592,909","8,434"
10,Gintama': Enchousen,9.02,,TV,13,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"347,175","3,129"
11,Ginga Eiyuu Densetsu,9.01,,OVA,110,26 min. per ep.,,Drama,R - 17+ (violence & profanity),"346,702","17,113"
12,Bleach: Sennen Kessen-hen,8.99,,TV,13,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"645,468","22,399"
13,Gintama.,8.98,,TV,12,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"336,955","2,799"
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.97,,TV,13,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"1,041,509","32,468"
15,Fruits Basket: The Final,8.95,,TV,13,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"532,997","20,977"
16,Clannad: After Story,8.93,,TV,24,24 min. per ep.,,Drama,PG-13 - Teens 13 or older,"1,249,537","72,177"
17,Gintama,8.93,,TV,201,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,121,035","60,670"
18,Koe no Katachi,8.93,,Movie,1,2 hr. 10 min.,Shounen,Manga,PG-13 - Teens 13 or older,"2,497,403","92,747"
19,Kusuriya no Hitorigoto 2nd Season,8.92,,TV,24,24 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"343,367","4,425"
20,Code Geass: Hangyaku no Lelouch R2,8.91,,TV,25,24 min. per ep.,,Action,R - 17+ (violence & profanity),"1,883,502","79,068"
21,Takopii no Genzai,8.91,,ONA,6,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"68,191",455
22,3-gatsu no Lion 2nd Season,8.90,,TV,22,25 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"426,107","15,302"
23,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,,Movie,1,1 hr. 50 min.,Shounen,Manga,PG-13 - Teens 13 or older,"255,429","2,135"
24,Monster,8.89,,TV,74,24 min. per ep.,Seinen,Manga,R+ - Mild Nudity,"1,245,191","58,290"
25,Kaoru Hana wa Rin to Saku,8.88,,TV,13,24 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"144,060","1,718"
26,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,,TV,14,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"217,036","1,081"
27,Kusuriya no Hitorigoto,8.87,,TV,24,22 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"672,979","21,214"
28,Owarimonogatari 2nd Season,8.86,,TV Special,7,22 min. per ep.,,Light novel,R - 17+ (violence & profanity),"424,033","8,937"
29,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,,TV Special,2,1 hr. 12 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"781,878","16,660"
30,Violet Evergarden Movie,8.84,,Movie,1,2 hr. 20 min.,,Light novel,PG-13 - Teens 13 or older,"683,194","9,350"
31,Kimi no Na wa.,8.83,,Movie,1,1 hr. 46 min.,,Award Winning,PG-13 - Teens 13 or older,"2,914,389","93,641"
32,Kingdom 3rd Season,8.83,,TV,26,25 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"121,999","2,448"
