ranking,nombre,score,votos,ranked,popularity,members,status,demografia,autores,volumenes,capitulos,generos
1,Berserk,9.47,,1,1,"758,085",Publishing,Seinen,"Miura, Kentarou, Studio Gaga",Unknown,Unknown,"Action, Adventure, Award Winning, Drama, Fantasy, Horror"
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,,2,23,"298,725",Finished,"Seinen, Shounen","Araki, Hirohiko",24,96,"Action, Adventure, Mystery, Supernatural"
3,Vagabond,9.27,,3,13,"430,417",On Hiatus,Seinen,"Inoue, Takehiko, Yoshikawa, Eiji",37,327,"Action, Adventure, Award Winning"
4,One Piece,9.22,,4,4,"668,098",Publishing,Shounen,"Oda, Eiichiro",Unknown,Unknown,"Action, Adventure, Fantasy"
5,Monster,9.16,,5,28,"273,973",Finished,Seinen,"Urasawa, Naoki",18,162,"Award Winning, Drama, Mystery"
6,Vinland Saga,9.09,,6,17,"337,561",Publishing,Seinen,"Yukimura, Makoto",Unknown,Unknown,"Action, Adventure, Award Winning, Drama"
7,Guimi Zhi Zhu,9.09,,7,1442,"15,184",Finished,,Ai Qianshui de Wuzei,18,366,"Action, Fantasy, Mystery, Suspense"
8,Slam Dunk,9.08,,8,49,"190,815",Finished,Shounen,"Inoue, Takehiko",31,276,"Award Winning, Sports"
9,Fullmetal Alchemist,9.04,,9,20,"312,726",Finished,Shounen,"Arakawa, Hiromu",27,116,"Action, Adventure, Award Winning, Drama, Fantasy"
10,Omniscient Reader's Viewpoint,9.04,,10,729,"27,288",Finished,,"sing N song, BlackBox",20,105,"Action, Adventure, Fantasy"
11,Grand Blue,9.03,,11,48,"192,050",Publishing,Seinen,"Inoue, Kenji, Yoshioka, Kimitake",Unknown,Unknown,
12,Tian Guan Cifu,9.01,,12,1055,"19,750",Finished,,Mo Xiang Tong Xiu,6,Unknown,"Action, Adventure, Boys Love, Fantasy"
13,Kingdom,9.01,,13,51,"189,892",Publishing,Seinen,"Hara, Yasuhisa",Unknown,Unknown,"Action, Award Winning"
